Feature,Importance
Y,0.22180176882677155
X,0.2191101786376438
weekday,0.07999704724302094
active_score,0.055956373675948703
foraging_score,0.04854832368480025
conditions_enc,0.04335246488669393
alert_score,0.03427905934614823
shift_enc,0.03151001208818858
has_threat,0.030242590302117206
density_level_Medium,0.02298828700438736
density_level_Low,0.021559037842620855
vocal_score,0.020063995183778438
Primary Fur Color_Cinnamon,0.019696356186658204
Primary Fur Color_Gray,0.01899237113098022
Location_Ground Plane,0.01865587764215252
Location_Above Ground,0.01793680276134934
Age_Adult,0.017165013455869908
Age_Juvenile,0.016208340794742718
density_level_High,0.014313105985001805
zone_NorthEast,0.012195734279570823
zone_SouthEast,0.01082022352977363
zone_SouthWest,0.010503193276138157
Primary Fur Color_Black,0.00875045125651509
outlier_variable,0.0038234453178229355
zone_NorthWest,0.0015033129688054648
Age_?,2.6632692499287584e-05
